mv,sp,pv,ce,pe
20.85002747225515,10000,9999.99733,0.0026699999998527346,0.0026699999998527346
20.850027750603015,10000,9999.99771,0.002290000000357395,0.002290000000357395
20.850028228068652,10000,9999.99838,0.0016199999990931246,0.0016199999990931246
20.850028228068652,10000,9999.99838,0.0016199999990931246,0.0016199999990931246
20.850027890298193,10000,9999.99791,0.002089999999952852,0.002089999999952852
20.850028108180986,10000,9999.99821,0.0017900000002555316,0.0017900000002555316
20.850027734965483,10000,9999.99769,0.0023099999998521525,0.0023099999998521525
20.850028216601125,10000,9999.99836,0.0016400000004068715,0.0016400000004068715
20.850028387571356,10000,9999.9986,0.001399999999193824,0.001399999999193824
20.850028679471755,10000,9999.99901,0.000990000000456348,0.000990000000456348
20.8500287826794,10000,9999.99915,0.0008500000003550667,0.0008500000003550667
20.850028959904645,10000,9999.9994,0.0005999999993946403,0.0005999999993946403
20.850028959904645,10000,9999.9994,0.0005999999993946403,0.0005999999993946403
20.85002889735456,10000,9999.99931,0.0006900000007590279,0.0006900000007590279
20.850028753489358,10000,9999.99911,0.0008899999993445817,0.0008899999993445817
20.850028846271986,10000,9999.99924,0.0007600000008096686,0.0007600000008096686
20.850028925502095,10000,9999.99935,0.0006499999999505235,0.0006499999999505235
20.85002899326469,10000,9999.99944,0.0005600000004051253,0.0005600000004051253
20.85002905164477,10000,9999.99952,0.0004800000006071059,0.0004800000006071059
20.85002905164477,10000,9999.99952,0.0004800000006071059,0.0004800000006071059
20.85002915172491,10000,9999.99966,0.0003400000005058246,0.0003400000005058246
20.85002922261501,10000,9999.99976,0.00023999999939405825,0.00023999999939405825
20.85002927265508,10000,9999.99983,0.00016999999934341758,0.00016999999934341758
20.850029308100133,10000,9999.99988,0.00012000000060652383,0.00012000000060652383
20.85002932061015,10000,9999.9999,9.999999929277692e-05,9.999999929277692e-05
20.85002932061015,10000,9999.9999,9.999999929277692e-05,9.999999929277692e-05
20.850029299760124,10000,9999.99987,0.00013000000035390258,0.00013000000035390258
20.85002932686516,10000,9999.99991,8.999999954539817e-05,8.999999954539817e-05
20.850029336247676,10000,9999.99992,7.999999979801942e-05,7.999999979801942e-05
20.85002934458769,10000,9999.99993,7.000000005064066e-05,7.000000005064066e-05
20.8500293518852,10000,9999.99994,6.000000030326191e-05,6.000000030326191e-05
20.85002936439522,10000,9999.99996,4.000000080850441e-05,4.000000080850441e-05
20.850029368565224,10000,9999.99996,4.000000080850441e-05,4.000000080850441e-05
20.850029368565224,10000,9999.99996,4.000000080850441e-05,4.000000080850441e-05
20.850029368565224,10000,9999.99996,4.000000080850441e-05,4.000000080850441e-05
20.85002937273523,10000,9999.99997,2.9999999242136255e-05,2.9999999242136255e-05
20.850029375862732,10000,9999.99997,2.9999999242136255e-05,2.9999999242136255e-05
20.85002938211774,10000,9999.99998,1.9999999494757503e-05,1.9999999494757503e-05
20.850029386287744,10000,9999.99999,9.999999747378752e-06,9.999999747378752e-06
20.850029387330245,10000,9999.99999,9.999999747378752e-06,9.999999747378752e-06
20.850029389415248,10000,9999.99999,9.999999747378752e-06,9.999999747378752e-06
20.85002939150025,10000,10000.0,0.0,0.0
20.85002939150025,10000,10000.0,0.0,0.0
20.85002939150025,10000,10000.0,0.0,0.0
20.85002939150025,10000,10000.0,0.0,0.0
20.85002939150025,10000,10000.0,0.0,0.0
20.85002939150025,10000,10000.0,0.0,0.0
20.85002939150025,10000,10000.0,0.0,0.0
20.85002939150025,10000,10000.0,0.0,0.0
20.85002939150025,10000,10000.0,0.0,0.0
20.85002939150025,10000,10000.0,0.0,0.0
20.85002939150025,10000,10000.0,0.0,0.0
20.85002939150025,10000,10000.0,0.0,0.0
20.85002939150025,10000,10000.0,0.0,0.0
20.85002939150025,10000,10000.0,0.0,0.0
20.85002939150025,10000,10000.0,0.0,0.0
20.85002939150025,10000,10000.0,0.0,0.0
20.85002939150025,10000,10000.0,0.0,0.0
20.85002939150025,10000,10000.0,0.0,0.0
20.85002939150025,10000,10000.0,0.0,0.0
20.85002939150025,10000,10000.0,0.0,0.0
20.85002939150025,10000,10000.0,0.0,0.0
20.85002939150025,10000,10000.0,0.0,0.0
20.85002939150025,10000,10000.0,0.0,0.0
